seberapa sering anda tiba tiba merasa lelah ?,seberapa sering anda merasa cemas ?,seberapa sering anda merasa cemas sampai tidak bisa menenangkan diri sendiri meskipun ada bantuan?,seberapa sering anda merasa putus asa ?,seberapa sering anda gelisah atau tidak tenang ?,seberapa sering anda merasa sangat gelisah sampai anda tidak bisa tidur dengan tenang ?,seberapa sering anda merasa depresi / sedih yang mendalam?,seberapa sering anda melakukan sesuatu yang biasanya mudah dilakukan ?,seberapa sering anda merasa sangat sedih sampai tidak ada yang dapat membuat kamu terhibur ?,seberapa sering anda merasa tidak berharga ?,hasil,,,,,
tidak pernah,tidak pernah,tidak pernah,tidak pernah,tidak pernah,tidak pernah,tidak pernah,tidak pernah,tidak pernah,tidak pernah,tidak depresi,,,,,
sering,sering,sering,sering,sering,sering,sering,sering,sering,sering,depresi ringan,,,,,
selalu,selalu,selalu,selalu,selalu,selalu,selalu,selalu,selalu,selalu,depresi berat,,,,,
tidak pernah,tidak pernah,tidak pernah,tidak pernah,tidak pernah,tidak pernah,tidak pernah,tidak pernah,tidak pernah,sering,tidak depresi,,,,,
tidak pernah,tidak pernah,tidak pernah,tidak pernah,tidak pernah,tidak pernah,tidak pernah,tidak pernah,sering,sering,tidak depresi,,,,,
tidak pernah,tidak pernah,tidak pernah,tidak pernah,tidak pernah,tidak pernah,tidak pernah,sering,sering,sering,tidak depresi,,,,,
tidak pernah,tidak pernah,tidak pernah,tidak pernah,tidak pernah,tidak pernah,sering,sering,sering,sering,depresi ringan,,,,,
tidak pernah,tidak pernah,tidak pernah,tidak pernah,tidak pernah,sering,sering,sering,sering,sering,depresi ringan,,,,,
tidak pernah,tidak pernah,tidak pernah,tidak pernah,sering,sering,sering,sering,sering,sering,depresi ringan,,,,,
tidak pernah,tidak pernah,tidak pernah,sering,sering,sering,sering,sering,sering,sering,depresi ringan,,,,,
tidak pernah,tidak pernah,sering,sering,sering,sering,sering,sering,sering,sering,depresi berat,,,,,
tidak pernah,sering,sering,sering,sering,sering,sering,sering,sering,sering,depresi berat,,,,,
sering,sering,sering,sering,sering,sering,sering,sering,sering,tidak pernah ,depresi berat,,,,,
sering,sering,sering,sering,sering,sering,sering,sering,tidak pernah,tidak pernah,depresi berat,,,,,
sering,sering,sering,sering,sering,sering,sering,tidak pernah,tidak pernah,tidak pernah,depresi ringan,,,,,
sering,sering,sering,sering,sering,sering,tidak pernah,tidak pernah,tidak pernah,tidak pernah,depresi ringan,,,,,
sering,sering,sering,sering,sering,tidak perna,tidak pernah,tidak pernah,tidak pernah,tidak pernah,depresi ringan,,,,,
sering,sering,sering,sering,tidak pernah,tidak pernah,tidak pernah,tidak pernah,tidak pernah,tidak pernah,tidak depresi,,,,,
sering,sering,sering,tidak pernah,tidak pernah,tidak pernah,tidak pernah,tidak pernah,tidak pernah,tidak pernah,tidak depresi,,,,,
sering,sering,tidak pernah,tidak pernah,tidak pernah,tidak pernah,tidak pernah,tidak pernah,tidak pernah,tidak pernah,tidak depresi,,,,,
sering,tidak pernah,tidak pernah,tidak pernah,tidak pernah,tidak pernah,tidak pernah,tidak pernah,tidak pernah,tidak pernah,tidak depresi,,,,,
sering,sering,sering,sering,sering,sering,sering,sering,sering,selalu,depresi ringan,,,,,
sering,sering,sering,sering,sering,sering,sering,sering,selalu,selalu,depresi ringan,,,,,
sering,sering,sering,sering,sering,sering,sering,selalu,selalu,selalu,depresi ringan,,,,,
sering,sering,sering,sering,sering,sering,selalu,selalu,selalu,selalu,depresi ringan,,,,,
sering,sering,sering,sering,sering,selalu,selalu,selalu,selalu,selalu,depresi ringan,,,,,
sering,sering,sering,sering,selalu,selalu,selalu,selalu,selalu,selalu,depresi berat,,,,,
sering,sering,sering,selalu,selalu,selalu,selalu,selalu,selalu,selalu,depresi berat,,,,,
sering,sering,selalu,selalu,selalu,selalu,selalu,selalu,selalu,selalu,depresi berat,,,,,
sering,selalu,selalu,selalu,selalu,selalu,selalu,selalu,selalu,selalu,depresi berat,,,,,
selalu,tidak pernah,tidak pernah,tidak pernah,tidak pernah,tidak pernah,tidak pernah,tidak pernah,tidak pernah,tidak pernah,tidak depresi,,,,,
selalu,selalu,tidak pernah,tidak pernah,tidak pernah,tidak pernah ,tidak pernah,tidak pernah,tidak pernah,tidak pernah,tidak depresi,,,,,
selalu,selalu,selalu,tidak pernah,tidak pernah,tidak pernah ,tidak pernah,tidak pernah,tidak pernah,tidak pernah,tidak depresi,,,,,
selalu,selalu,selalu,selalu,tidak pernah,tidak pernah,tidak pernah ,tidak pernah,tidak pernah,tidak pernah,tidak depresi,,,,,
selalu,selalu,selalu,selalu,selalu,tidak pernah,tidak pernah,tidak pernah ,tidak pernah,tidak pernah,tidak depresi,,,,,
selalu,selalu,selalu,selalu,selalu,selalu,tidak pernah,tidak pernah,tidak pernah,tidak pernah,depresi berat,,,,,
selalu,selalu,selalu,selalu,selalu,selalu,selalu,tidak pernah,tidak pernah,tidak pernah,depresi berat,,,,,
selalu,selalu,selalu,selalu,selalu,selalu,selalu,selalu,tidak pernah,tidak pernah,depresi berat,,,,,
selalu,selalu,selalu,selalu,selalu,selalu,selalu,selalu,selalu,tidak pernah,depresi berat,,,,,
selalu,selalu,selalu,selalu,selalu,selalu,selalu,selalu,selalu,sering,depresi berat,,,,,
